GENE	EVENT	COORD	LENGTH	COMPLEX	FOREBRAIN.ADOLESCENT_ERR2598266	FOREBRAIN.ADOLESCENT_ERR2598267	FOREBRAIN.ADOLESCENT_ERR2598268	FOREBRAIN.ADOLESCENT_ERR2598269	FOREBRAIN.ELDERLY_ERR2598280	FOREBRAIN.ELDERLY_ERR2598281	FOREBRAIN.MIDDLE_ADULT_ERR2598305	FOREBRAIN.MIDDLE_ADULT_ERR2598306	FOREBRAIN.YOUNG_ADULT_ERR2598346	FOREBRAIN.YOUNG_ADULT_ERR2598347	FOREBRAIN.YOUNG_ADULT_ERR2598348	FOREBRAIN.YOUNG_ADULT_ERR2598349	FOREBRAIN.YOUNG_ADULT_ERR2598350	HEART.ADOLESCENT_ERR2598270	HEART.MIDDLE_ADULT_ERR2598307	HEART.YOUNG_ADULT_ERR2598351	LIVER.ADOLESCENT_ERR2598275	LIVER.ELDERLY_ERR2598284	LIVER.ELDERLY_ERR2598285	LIVER.MIDDLE_ADULT_ERR2598310	LIVER.YOUNG_ADULT_ERR2598357	LIVER.YOUNG_ADULT_ERR2598358	LIVER.YOUNG_ADULT_ERR2598359
ST7	HsaEX0062054	chr7:116861977-116862116	140	S	94.44	97.3	100.0	100.0	92.31	100.0	94.29	96.04	100.0	100.0	98.06	100.0	100.0	97.73	98.17	100.0	96.43	94.12	100.0	93.75	95.83	100.0	100.0
ST7	HsaEX0062056	chr7:116830888-116830990	103	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
TRAPPC6A	HsaEX0066937	chr19:45667422-45667505	84	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
LUC7L	HsaEX0036986	chr16:249061-249237	177	S	95.89	98.5	96.72	98.1	86.67	100.0	96.44	97.78	100.0	100.0	93.84	94.15	98.92	100.0	96.46	95.15	97.36	98.43	96.54	97.22	96.73	95.14	100.0
LUC7L	HsaEX0036987	chr16:242926-243014	89	S	100.0	100.0	100.0	100.0	100.0	100.0	98.24	100.0	98.16	100.0	99.1	100.0	97.75	100.0	100.0	100.0	98.04	98.81	100.0	100.0	98.5	98.03	98.59
LUC7L	HsaEX0036989	chr16:240540-240569	30	S	98.74	100.0	100.0	100.0	100.0	98.88	99.48	100.0	100.0	97.81	100.0	99.11	100.0	100.0	100.0	98.85	100.0	98.58	99.45	93.0	98.85	98.92	96.33
LUC7L	HsaEX0036990	chr16:270680-270746	67	C1	100.0	100.0	98.87	97.75	100.0	100.0	100.0	97.27	100.0	92.0	98.68	98.66	98.0	100.0	99.45	97.45	100.0	100.0	100.0	100.0	97.85	97.5	97.94
NISCH	HsaEX0043022	chr3:52524721-52524849	129	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.56	100.0	100.0	100.0	100.0	95.12	100.0	100.0	100.0	100.0	100.0	100.0	97.53	100.0	100.0	100.0
PPP5C	HsaEX0049798	chr19:46888061-46888166	106	C2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.91	100.0	100.0	100.0
ERCC1	HsaEX0022997	chr19:45924436-45924651	216	S	93.97	98.54	98.02	97.14	99.32	100.0	91.86	95.74	100.0	100.0	98.15	97.45	100.0	100.0	97.1	95.01	95.39	96.09	96.25	100.0	96.82	100.0	97.54
ERCC1	HsaEX0022998	chr19:45923582-45923685	104	C3	100.0	98.22	97.53	97.7	97.18	100.0	95.88	98.8	100.0	100.0	99.31	99.09	100.0	100.0	96.17	98.23	97.38	100.0	98.52	100.0	100.0	100.0	97.88
ERCC1	HsaEX0022999	chr19:45922356-45922455	100	S	100.0	97.94	96.72	97.29	97.05	100.0	94.96	96.82	100.0	100.0	97.73	95.86	100.0	100.0	94.64	98.29	96.23	100.0	97.56	99.47	100.0	100.0	97.55
SLC25A39	HsaEX0059116	chr17:42400176-42400220	45	S	89.55	100.0	95.1	100.0	100.0	100.0	97.59	96.16	100.0	100.0	95.04	100.0	95.28	100.0	95.83	96.48	95.43	94.6	100.0	96.64	96.57	100.0	100.0
SLC25A39	HsaEX0059117	chr17:42399068-42399135	68	S	93.58	97.92	92.01	100.0	100.0	98.3	98.9	95.29	92.07	96.73	96.68	93.8	97.75	98.89	93.16	85.41	98.58	92.1	93.06	98.38	98.1	98.64	100.0
CD74	HsaEX0013907	chr5:149782684-149782875	192	S	22.45	24.47	25.16	18.58	19.58	13.37	19.43	29.25	20.43	20.72	36.3	28.02	18.66	14.29	22.96	31.4	11.62	23.52	34.39	18.9	17.8	35.15	11.1
C20orf43	HsaEX0010502	chr20:55091991-55092045	55	S	94.03	97.67	94.44	98.99	94.01	86.11	95.99	98.74	94.12	89.19	99.37	99.36	95.24	94.64	99.0	98.32	99.32	94.81	98.0	95.97	92.08	91.23	95.79
RNF10	HsaEX0053834	chr12:120992521-120992611	91	S	100.0	100.0	98.47	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.44	99.08	100.0	100.0	99.16	100.0	100.0	100.0	100.0
RNF10	HsaEX0053835	chr12:121000748-121000873	126	C3	100.0	98.89	100.0	98.33	100.0	100.0	99.08	99.43	100.0	100.0	100.0	100.0	100.0	100.0	98.31	99.29	98.35	100.0	100.0	100.0	100.0	100.0	100.0
RNF10	HsaEX0053836	chr12:121004628-121004783	156	S	98.67	99.44	99.15	98.67	98.09	97.57	97.06	99.05	97.15	100.0	97.66	100.0	98.74	98.43	99.6	99.14	98.56	98.31	98.8	100.0	96.95	100.0	98.31
RNF10	HsaEX0053837	chr12:121008994-121009094	101	S	89.99	89.16	87.48	86.02	96.6	79.62	89.33	91.12	82.31	81.37	88.15	96.99	82.39	89.33	86.91	88.57	86.69	86.44	92.95	96.24	81.09	91.21	83.93
ALAS1	HsaEX0003570	chr3:52239855-52240039	185	C2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
RNASET2	HsaEX0053828	chr6:167352383-167352496	114	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SNX1	HsaEX0060767	chr15:64423886-64424091	206	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
RANBP3	HsaEX0052165	chr19:5925645-5925748	104	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.19	100.0	100.0	100.0	100.0
PSMA4	HsaEX0050583	chr15:78834918-78834987	70	S	81.54	86.89	100.0	90.36	100.0	100.0	98.23	92.26	100.0	100.0	91.18	93.1	92.98	100.0	96.69	92.66	94.92	91.11	88.1	100.0	100.0	97.18	100.0
ATP6V1H	HsaEX0007014	chr8:54669115-54669216	102	S	97.18	98.96	94.85	96.95	100.0	100.0	99.7	98.14	92.86	100.0	98.79	98.15	100.0	100.0	98.63	98.63	98.58	98.29	97.82	100.0	100.0	100.0	100.0
ATP6V1H	HsaEX0007015	chr8:54656137-54656250	114	S	98.71	99.73	97.52	98.93	100.0	100.0	100.0	98.92	100.0	100.0	99.25	99.57	100.0	100.0	99.38	98.18	99.1	98.86	98.79	100.0	100.0	100.0	100.0
CCDC90A	HsaEX0013524	chr6:13799065-13799136	72	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	94.14	100.0	100.0	100.0	98.67	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
CCDC90A	HsaEX0013525	chr6:13801520-13801621	102	S	100.0	97.89	100.0	100.0	100.0	100.0	100.0	100.0	94.57	100.0	100.0	100.0	100.0	98.0	100.0	98.76	100.0	100.0	100.0	100.0	97.41	100.0	100.0
HERPUD1	HsaEX0029816	chr16:56973149-56973271	123	C3	93.1	100.0	100.0	100.0	100.0	100.0	100.0	97.87	100.0	100.0	100.0	100.0	100.0	100.0	97.59	98.75	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ANAPC4	HsaEX0004068	chr4:25419238-25419361	124	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.85
TARBP1	HsaEX0063642	chr1:234529108-234529222	115	S	100.0	99.53	95.06	100.0	100.0	95.92	100.0	100.0	100.0	100.0	99.14	100.0	100.0	100.0	100.0	100.0	98.09	100.0	100.0	100.0	88.57	100.0	100.0
CCAR1	HsaEX0012831	chr10:70525645-70525836	192	C3	100.0	100.0	97.89	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
ACAA1	HsaEX0001661	chr3:38173087-38173129	43	S	49.34	83.72	91.92	71.79	96.7	89.97	77.93	73.33	90.8	86.39	83.83	66.67	77.2	95.31	72.09	91.26	83.5	70.21	67.74	93.33	91.65	96.77	95.25
ACAA1	HsaEX0001662	chr3:38170781-38170879	99	C1	97.6	99.04	95.51	97.65	100.0	99.38	100.0	99.1	100.0	99.02	99.18	97.58	97.23	99.52	98.65	100.0	97.53	100.0	100.0	100.0	99.44	99.2	99.8
ACAA1	HsaEX0001663	chr3:38169277-38169357	81	S	95.16	99.18	100.0	100.0	100.0	99.79	100.0	100.0	100.0	100.0	98.93	99.05	98.31	99.88	98.94	98.08	98.07	100.0	100.0	100.0	100.0	100.0	100.0
MRPS35	HsaEX0040206	chr12:27888380-27888489	110	S	97.22	96.72	94.87	95.0	96.88	100.0	100.0	94.12	100.0	100.0	98.46	98.13	100.0	100.0	100.0	98.05	100.0	96.43	95.96	100.0	100.0	100.0	100.0
SFRS8	HsaEX0057697	chr12:132271008-132271133	126	S	100.0	100.0	100.0	100.0	100.0	100.0	98.58	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.94	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
EPN1	HsaEX0022820	chr19:56200663-56200737	75	S	11.33	11.33	35.89	12.66	87.17	100.0	14.76	13.93	100.0	78.45	18.45	18.32	90.52	100.0	14.04	24.03	6.56	16.92	23.89	69.51	97.14	100.0	100.0
EPN1	HsaEX0022821	chr19:56201233-56201316	84	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
EPN1	HsaEX0022822	chr19:56203120-56203423	304	S	100.0	100.0	100.0	100.0	100.0	100.0	99.38	100.0	100.0	100.0	100.0	100.0	100.0	98.55	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
SUGP2	HsaEX0062842	chr19:19104457-19104549	93	S	19.54	18.02	11.93	7.85	22.22	100.0	7.1	12.98	94.81	79.49	20.38	23.81	45.45	100.0	14.89	12.5	12.3	10.05	28.57	24.53	100.0	100.0	90.32
SUGP2	HsaEX0062845	chr19:19112422-19112483	62	S	100.0	99.23	100.0	100.0	100.0	100.0	99.34	100.0	100.0	100.0	100.0	100.0	96.28	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
TBC1D1	HsaEX0063742	chr4:38119654-38119813	160	C3	100.0	100.0	91.67	100.0	100.0	100.0	100.0	90.99	100.0	100.0	100.0	100.0	96.45	95.45	97.33	100.0	97.18	100.0	100.0	100.0	100.0	100.0	100.0
NFYC	HsaEX0042833	chr1:41228662-41228718	57	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	91.03	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NFYC	HsaEX0042834	chr1:41232274-41232375	102	S	93.83	94.94	100.0	94.5	100.0	100.0	95.46	94.16	100.0	100.0	89.93	95.48	100.0	93.19	92.43	94.91	100.0	91.03	97.59	100.0	100.0	100.0	100.0
DHX29	HsaEX0019573	chr5:54558458-54558760	303	C2	95.0	100.0	95.06	93.75	100.0	100.0	94.44	95.56	95.24	100.0	98.28	100.0	92.86	100.0	97.83	100.0	96.72	100.0	100.0	100.0	96.49	96.0	100.0
DHX29	HsaEX0019574	chr5:54557196-54557327	132	C3	93.94	100.0	94.12	95.35	100.0	100.0	95.35	95.12	94.12	100.0	97.65	100.0	94.12	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.43	95.24	100.0
IDH3G	HsaEX0030897	chrX:153052506-153052608	103	C2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
IDH3G	HsaEX0030898	chrX:153052256-153052402	147	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.67	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
COASY	HsaEX0016143	chr17:40715979-40716136	158	S	100.0	98.25	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	92.59	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
COASY	HsaEX0016144	chr17:40716727-40716916	190	C2	93.94	83.21	93.04	77.78	100.0	94.94	86.67	85.19	100.0	94.44	65.06	83.72	94.29	98.33	87.06	85.31	74.1	71.01	82.31	96.15	100.0	100.0	94.5
COASY	HsaEX0016145	chr17:40717001-40717065	65	C2	94.94	90.75	96.49	83.13	100.0	100.0	92.96	90.8	100.0	96.36	78.4	87.16	95.45	98.83	91.63	88.24	85.56	79.07	87.63	97.47	100.0	100.0	98.8
CECR5	HsaEX0014500	chr22:17619440-17619628	189	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NUCB2	HsaEX0044137	chr11:17336933-17337022	90	S	75.75	85.44	85.41	89.85	94.09	100.0	83.07	88.86	89.56	100.0	86.49	81.46	96.69	88.69	89.38	91.15	88.67	83.5	89.88	89.28	97.68	95.7	96.32
NUCB2	HsaEX0044138	chr11:17352449-17352530	82	C2	97.31	100.0	98.86	100.0	99.3	100.0	99.0	98.76	100.0	100.0	100.0	100.0	100.0	100.0	98.8	100.0	100.0	98.4	100.0	100.0	100.0	100.0	100.0
POLB	HsaEX0048874	chr8:42220130-42220216	87	S	91.3	94.71	95.35	85.48	97.89	92.41	92.64	94.55	90.77	91.11	92.12	93.55	80.49	91.11	94.24	97.42	94.69	93.39	92.42	96.77	81.13	83.33	91.43
POLB	HsaEX0048876	chr8:42227367-42227461	95	C2	88.0	97.01	88.46	83.33	92.98	98.77	83.78	92.23	100.0	95.35	84.47	87.5	100.0	93.1	91.4	91.78	92.45	91.84	90.48	88.24	95.12	100.0	92.0
POLB	HsaEX0048877	chr8:42214838-42214910	73	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
WBSCR22	HsaEX0070873	chr7:73101148-73101230	83	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.8	100.0	100.0	100.0	100.0	100.0	100.0	99.13	100.0	100.0	100.0	100.0
WBSCR22	HsaEX0070876	chr7:73107659-73107744	86	C2	100.0	98.92	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
WBSCR22	HsaEX0070877	chr7:73107954-73107999	46	C3	100.0	98.8	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
WBSCR22	HsaEX0070878	chr7:73108322-73108380	59	S	100.0	81.22	100.0	83.07	87.47	100.0	100.0	100.0	100.0	100.0	95.4	100.0	93.98	100.0	84.15	89.83	100.0	90.22	100.0	100.0	95.61	100.0	100.0
ALDH3A2	HsaEX0003631	chr17:19568261-19568360	100	S	100.0	100.0	96.49	100.0	100.0	99.22	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.97	100.0	100.0	100.0	95.56	99.23	100.0	99.37
ALDH3A2	HsaEX0003632	chr17:19575034-19575269	236	C1	100.0	100.0	97.53	100.0	100.0	99.56	96.72	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.47	100.0	99.54
DERL2	HsaEX0019303	chr17:5383707-5383902	196	C2	100.0	100.0	100.0	100.0	100.0	92.31	100.0	97.06	92.86	100.0	100.0	100.0	100.0	97.75	100.0	100.0	100.0	100.0	100.0	93.55	100.0	100.0	97.62
SDHA	HsaEX0056749	chr5:225534-225677	144	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.94	100.0	100.0	100.0	98.93	100.0	100.0	100.0	98.06	100.0	100.0
SDHA	HsaEX0056750	chr5:225998-226162	165	C3	100.0	100.0	100.0	100.0	98.93	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.86	100.0	100.0	100.0	98.83	100.0	100.0	100.0	98.0	100.0	100.0
SDHA	HsaEX0056751	chr5:228300-228448	149	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.83	100.0	100.0	100.0	98.46	100.0	100.0	100.0	98.17	100.0	100.0
SDHA	HsaEX0056752	chr5:233592-233760	169	C3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.94	100.0	100.0	100.0	99.09	100.0	100.0	100.0	99.1	100.0	100.0
SDHA	HsaEX0056753	chr5:235259-235454	196	C3	98.33	100.0	100.0	100.0	100.0	100.0	98.41	100.0	100.0	100.0	97.95	100.0	98.9	100.0	99.67	100.0	98.42	100.0	100.0	99.84	98.94	100.0	100.0
CLNS1A	HsaEX0015743	chr11:77336762-77336860	99	C3	100.0	98.76	97.8	97.85	97.36	100.0	97.42	97.73	100.0	100.0	97.97	99.06	96.97	100.0	100.0	97.38	98.78	100.0	97.77	100.0	100.0	100.0	100.0
CLNS1A	HsaEX0015744	chr11:77333545-77333718	174	S	97.85	97.98	98.49	97.73	100.0	100.0	93.27	95.03	94.01	89.96	96.61	96.83	100.0	95.32	96.08	99.37	97.38	97.48	98.24	100.0	98.18	98.13	95.25
ZNF638	HsaEX0074102	chr2:71651780-71651845	66	C3	100.0	98.69	90.87	92.99	100.0	91.08	92.61	100.0	94.79	100.0	90.9	98.1	97.16	100.0	98.94	97.48	100.0	96.54	94.73	100.0	93.25	91.26	83.85
MARK3	HsaEX0037924	chr14:103958114-103958371	258	C1	100.0	96.0	100.0	100.0	97.46	100.0	97.17	97.59	100.0	100.0	94.03	95.48	97.88	100.0	97.34	98.71	94.48	97.48	97.73	100.0	89.52	96.21	97.32
MARK3	HsaEX0037925	chr14:103964839-103964865	27	C2	10.29	13.04	24.5	4.76	83.67	11.48	22.33	12.61	19.79	4.4	22.06	9.23	81.4	15.42	14.16	15.24	15.24	11.32	25.58	93.46	16.67	35.14	16.91
MARK3	HsaEX0037926	chr14:103966493-103966537	45	C2	84.17	90.94	68.94	86.54	84.07	24.81	87.19	89.36	24.66	34.62	82.27	90.93	58.3	11.3	88.61	86.58	80.21	87.21	85.99	93.53	20.0	16.24	15.06
MARK3	HsaEX0037936	chr14:103941330-103941547	218	S	100.0	100.0	100.0	100.0	100.0	100.0	97.78	100.0	100.0	91.3	99.02	100.0	100.0	100.0	99.17	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
EXOSC7	HsaEX0023537	chr3:45048912-45049067	156	S	93.23	96.37	100.0	100.0	94.11	100.0	98.54	100.0	100.0	91.53	100.0	94.03	100.0	100.0	100.0	100.0	94.65	97.24	96.7	100.0	100.0	100.0	100.0
REXO2	HsaEX0053145	chr11:114315308-114315374	67	S	82.82	90.85	93.53	92.08	97.94	100.0	96.47	95.02	100.0	71.63	89.93	94.65	96.66	96.71	100.0	98.49	94.88	93.74	98.5	99.41	100.0	100.0	97.33
REXO2	HsaEX0053146	chr11:114316701-114316809	109	C2	93.74	96.34	98.24	91.4	100.0	100.0	100.0	100.0	100.0	100.0	98.02	100.0	98.45	100.0	100.0	100.0	100.0	97.18	100.0	100.0	100.0	100.0	100.0
REXO2	HsaEX0053147	chr11:114318548-114318601	54	S	92.79	95.92	97.7	91.51	100.0	100.0	100.0	100.0	100.0	100.0	97.85	100.0	98.53	100.0	100.0	100.0	100.0	96.62	100.0	100.0	100.0	100.0	100.0
ARHGEF1	HsaEX0005560	chr19:42409327-42409413	87	S	100.0	100.0	98.82	100.0	100.0	96.72	100.0	100.0	97.3	100.0	98.87	100.0	94.34	100.0	96.75	100.0	100.0	100.0	100.0	100.0	97.59	100.0	100.0
MCCC1	HsaEX0038200	chr3:182743543-182743592	50	S	95.0	100.0	100.0	100.0	100.0	100.0	100.0	95.29	91.55	100.0	95.79	94.74	100.0	97.5	100.0	97.67	96.92	96.08	95.4	100.0	97.56	100.0	100.0
UBE2K	HsaEX0068770	chr4:39776454-39776553	100	S	100.0	93.81	95.24	92.45	96.0	100.0	95.24	100.0	100.0	100.0	97.92	98.87	100.0	100.0	98.46	93.92	95.79	92.73	97.48	100.0	100.0	100.0	97.98
UBE2K	HsaEX0068771	chr4:39779302-39779430	129	S	100.0	97.28	100.0	100.0	94.34	98.29	100.0	100.0	98.23	100.0	100.0	99.19	97.8	97.78	95.33	98.75	95.85	95.6	96.12	97.22	98.61	100.0	100.0
NRD1	HsaEX0043784	chr1:52256205-52256321	117	S	100.0	100.0	100.0	100.0	100.0	99.61	100.0	100.0	100.0	100.0	100.0	100.0	99.17	100.0	99.76	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
FDFT1	HsaEX0025494	chr8:11667176-11667359	184	C2	100.0	99.54	98.94	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.74	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
FDFT1	HsaEX0025495	chr8:11679259-11679387	129	S	100.0	99.6	98.35	100.0	100.0	100.0	100.0	99.49	100.0	100.0	100.0	100.0	100.0	99.31	100.0	100.0	99.17	99.15	98.95	100.0	100.0	100.0	100.0
KEAP1	HsaEX0033377	chr19:10600324-10600529	206	S	100.0	96.92	98.66	100.0	100.0	100.0	100.0	98.29	91.49	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.36	100.0	96.12	100.0	100.0	100.0
KEAP1	HsaEX0033378	chr19:10599868-10600044	177	S	100.0	100.0	98.7	93.18	98.18	94.69	99.03	97.65	93.81	94.03	96.91	100.0	92.0	98.33	97.67	97.54	96.61	97.08	99.19	98.71	100.0	97.62	100.0
SLC35C2	HsaEX0059411	chr20:44980690-44980824	135	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
HSPB11	HsaEX0030627	chr1:54394045-54394108	64	S	96.02	98.18	98.13	93.49	90.77	98.52	97.65	98.18	100.0	100.0	97.65	98.62	100.0	100.0	97.74	97.89	95.38	97.35	95.95	100.0	98.77	100.0	99.0
MRPL22	HsaEX0040112	chr5:154330381-154330498	118	S	95.43	87.37	84.63	77.59	89.48	95.65	86.12	74.1	89.18	85.62	63.88	86.55	63.2	96.85	89.07	88.47	60.63	81.67	55.05	61.88	94.01	93.99	98.34
APLP2	HsaEX0005150	chr11:130005458-130005610	153	C1	99.38	100.0	100.0	100.0	98.2	97.81	99.2	100.0	100.0	100.0	98.28	100.0	97.8	100.0	99.57	99.86	99.72	99.47	99.12	100.0	97.24	98.16	98.33
APLP2	HsaEX0005151	chr11:130007151-130007186	36	S	88.68	94.33	69.53	87.48	11.5	22.48	80.27	88.68	15.47	33.42	71.69	92.65	27.03	9.76	85.65	86.84	82.43	91.82	72.79	12.52	16.32	5.48	11.86
EIF3I	HsaEX0022003	chr1:32691772-32691884	113	C2	94.7	98.34	98.32	96.47	100.0	100.0	91.99	94.74	100.0	100.0	94.39	93.26	93.98	98.31	97.12	95.44	95.76	93.64	95.44	97.56	100.0	100.0	99.06
EIF3I	HsaEX0022004	chr1:32692004-32692131	128	C2	94.35	96.73	95.69	94.97	100.0	96.8	93.21	94.91	98.38	100.0	92.74	94.37	94.13	98.76	94.19	94.29	93.5	91.44	95.85	97.58	100.0	100.0	99.28
MGST2	HsaEX0039145	chr4:140616351-140616421	71	S	85.0	91.67	85.71	100.0	80.18	97.71	96.83	83.13	98.43	95.15	93.75	93.55	91.23	93.83	90.24	83.87	100.0	74.19	90.48	82.26	96.85	96.62	98.37
PSMC5	HsaEX0050601	chr17:61907493-61907549	57	S	94.92	99.13	100.0	94.79	100.0	100.0	97.89	99.28	94.03	100.0	99.14	99.33	97.88	100.0	99.08	97.6	98.18	98.6	99.05	100.0	100.0	100.0	100.0
ANKRD10	HsaEX0004270	chr13:111545375-111545610	236	C2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.05	100.0	98.44	97.5	100.0	98.5	100.0	100.0	100.0	100.0
COQ9	HsaEX0016844	chr16:57490843-57490927	85	C3	100.0	95.83	92.94	100.0	97.48	97.06	94.0	94.74	100.0	100.0	96.4	95.56	96.88	100.0	97.16	98.59	96.64	97.94	99.01	97.89	100.0	97.18	97.83
COQ9	HsaEX0016845	chr16:57492158-57492262	105	S	96.15	98.76	87.5	96.08	96.88	96.67	92.68	91.36	100.0	100.0	94.12	94.17	98.17	100.0	98.04	90.29	97.78	95.56	97.33	98.12	100.0	98.51	100.0
CRLS1	HsaEX0017282	chr20:6011931-6012016	86	S	77.75	87.72	95.62	86.01	100.0	99.12	92.39	91.7	91.58	96.88	94.0	92.29	100.0	96.46	94.99	96.86	90.46	96.51	92.14	98.57	98.22	99.44	98.99
CRLS1	HsaEX0017283	chr20:6012658-6012726	69	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.09	98.57	100.0	100.0	100.0	99.48	98.41	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PAPOLA	HsaEX0045440	chr14:96993767-96993876	110	S	100.0	95.97	93.65	96.08	100.0	100.0	100.0	97.98	100.0	93.33	98.64	98.02	100.0	100.0	93.87	94.72	100.0	95.65	96.27	100.0	100.0	100.0	100.0
SPG21	HsaEX0061382	chr15:65262452-65262560	109	C2	96.3	100.0	98.51	100.0	100.0	100.0	95.4	97.7	94.59	100.0	97.8	98.17	97.06	100.0	98.6	98.96	98.15	100.0	98.89	97.5	100.0	100.0	100.0
SPG21	HsaEX0061383	chr15:65261592-65261695	104	C2	97.01	100.0	98.73	100.0	100.0	100.0	96.15	100.0	98.06	100.0	96.19	98.23	100.0	100.0	98.99	99.23	98.56	100.0	98.97	97.75	100.0	100.0	100.0
GNPTG	HsaEX0027931	chr16:1411744-1411798	55	S	97.7	96.81	95.74	94.74	100.0	100.0	88.19	96.9	100.0	95.24	90.43	95.18	100.0	97.67	94.15	97.13	92.27	94.22	96.86	92.45	100.0	100.0	97.85
